t,Lambda1,Lambda2,Lambda3,Lambda4,Kdelta
10.043347782594198,0.04227869401368256,0.0,-8.881784197001252e-16,-8.881784197001252e-16,2.0
10.047349116372125,0.04227869401370654,0.0,0.0,0.0,2.0
10.05135045015005,0.04227869401373763,-8.881784197001252e-16,-8.881784197001252e-16,-8.881784197001252e-16,2.0
10.055351783927977,0.04227869401377493,0.0,0.0,-8.881784197001252e-16,2.0
10.059353117705902,0.04227869401381845,8.881784197001252e-16,0.0,0.0,2.0
10.063354451483828,0.04227869401386464,8.881784197001252e-16,0.0,0.0,2.0
10.067355785261755,0.04227869401391526,-8.881784197001252e-16,-8.881784197001252e-16,-8.881784197001252e-16,2.0
10.07135711903968,0.042278694013968554,0.0,-8.881784197001252e-16,-8.881784197001252e-16,2.0
10.075358452817607,0.04227869401402451,8.881784197001252e-16,8.881784197001252e-16,-8.881784197001252e-16,2.0
10.079359786595532,0.042278694014079576,0.0,-8.881784197001252e-16,-8.881784197001252e-16,2.0
10.083361120373459,0.04227869401413553,-8.881784197001252e-16,-8.881784197001252e-16,-8.881784197001252e-16,2.0
10.087362454151384,0.04227869401419149,0.0,0.0,0.0,2.0
10.09136378792931,0.042278694014245666,-8.881784197001252e-16,-8.881784197001252e-16,-8.881784197001252e-16,2.0
10.095365121707236,0.04227869401429807,0.0,0.0,-8.881784197001252e-16,2.0
10.099366455485162,0.04227869401434958,1.7763568394002505e-15,-8.881784197001252e-16,-8.881784197001252e-16,2.0
10.103367789263087,0.04227869401439577,0.0,0.0,0.0,2.0
10.107369123041014,0.04227869401444018,0.0,-8.881784197001252e-16,-8.881784197001252e-16,2.0
10.11137045681894,0.04227869401448103,8.881784197001252e-16,-8.881784197001252e-16,-8.881784197001252e-16,2.0
10.115371790596866,0.04227869401451567,-8.881784197001252e-16,-8.881784197001252e-16,-8.881784197001252e-16,2.0
10.119373124374793,0.042278694014547646,0.0,-8.881784197001252e-16,-8.881784197001252e-16,2.0
10.123374458152718,0.04227869401457518,0.0,-8.881784197001252e-16,-8.881784197001252e-16,2.0
10.127375791930644,0.042278694014596496,8.881784197001252e-16,0.0,-8.881784197001252e-16,2.0
10.13137712570857,0.04227869401460982,8.881784197001252e-16,0.0,0.0,2.0
10.135378459486496,0.042278694014621365,0.0,0.0,0.0,2.0
10.139379793264421,0.042278694014625806,8.881784197001252e-16,8.881784197001252e-16,0.0,2.0
10.143381127042348,0.04227869401462403,-8.881784197001252e-16,-8.881784197001252e-16,-8.881784197001252e-16,2.0
10.147382460820275,0.04227869401461781,-8.881784197001252e-16,-8.881784197001252e-16,-8.881784197001252e-16,2.0
10.1513837945982,0.0422786940146036,0.0,0.0,0.0,2.0
10.155385128376127,0.04227869401458495,-8.881784197001252e-16,-8.881784197001252e-16,-8.881784197001252e-16,2.0
10.159386462154052,0.04227869401456008,-8.881784197001252e-16,-8.881784197001252e-16,-8.881784197001252e-16,2.0
10.163387795931978,0.04227869401452988,0.0,-1.7763568394002505e-15,-1.7763568394002505e-15,2.0
10.167389129709903,0.042278694014494356,-8.881784197001252e-16,-8.881784197001252e-16,-8.881784197001252e-16,2.0
10.17139046348783,0.04227869401445439,0.0,0.0,-1.7763568394002505e-15,2.0
10.175391797265755,0.0422786940144082,-8.881784197001252e-16,-8.881784197001252e-16,-8.881784197001252e-16,2.0
10.179393131043682,0.042278694014357576,0.0,-8.881784197001252e-16,-8.881784197001252e-16,2.0
10.183394464821607,0.04227869401430162,0.0,-8.881784197001252e-16,-8.881784197001252e-16,2.0
10.187395798599534,0.042278694014243,0.0,0.0,0.0,2.0
10.19139713237746,0.04227869401418083,-8.881784197001252e-16,-8.881784197001252e-16,-8.881784197001252e-16,2.0
10.195398466155385,0.042278694014115104,-8.881784197001252e-16,-8.881784197001252e-16,-8.881784197001252e-16,2.0
10.199399799933312,0.042278694014046714,0.0,-8.881784197001252e-16,-8.881784197001252e-16,2.0
10.203401133711237,0.04227869401397655,0.0,-8.881784197001252e-16,-8.881784197001252e-16,2.0
10.207402467489164,0.04227869401390638,0.0,0.0,0.0,2.0
10.211403801267089,0.04227869401383444,-8.881784197001252e-16,-1.7763568394002505e-15,-1.7763568394002505e-15,2.0
10.215405135045016,0.04227869401376161,8.881784197001252e-16,0.0,-1.7763568394002505e-15,2.0
10.21940646882294,0.042278694013690554,-8.881784197001252e-16,-8.881784197001252e-16,-8.881784197001252e-16,2.0
10.223407802600867,0.042278694013621276,8.881784197001252e-16,-8.881784197001252e-16,-8.881784197001252e-16,2.0
10.227409136378794,0.04227869401355644,-8.881784197001252e-16,-8.881784197001252e-16,-8.881784197001252e-16,2.0
10.23141047015672,0.0422786940134916,0.0,-8.881784197001252e-16,-8.881784197001252e-16,2.0
10.235411803934646,0.042278694013432094,0.0,0.0,0.0,2.0
10.239413137712571,0.04227869401337703,8.881784197001252e-16,8.881784197001252e-16,0.0,2.0
10.243414471490498,0.042278694013329066,0.0,0.0,0.0,2.0
10.247415805268423,0.04227869401328821,0.0,0.0,0.0,2.0
10.25141713904635,0.04227869401325535,0.0,0.0,0.0,2.0
10.255418472824275,0.04227869401323048,-8.881784197001252e-16,-8.881784197001252e-16,-8.881784197001252e-16,2.0
10.259419806602201,0.04227869401321804,0.0,-1.7763568394002505e-15,-1.7763568394002505e-15,2.0
10.263421140380128,0.04227869401321804,0.0,-8.881784197001252e-16,-8.881784197001252e-16,2.0
10.267422474158053,0.04227869401322959,8.881784197001252e-16,0.0,-8.881784197001252e-16,2.0
10.27142380793598,0.04227869401325535,0.0,0.0,-8.881784197001252e-16,2.0
10.275425141713905,0.04227869401329887,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,2.0
10.279426475491832,0.04227869401335127,0.0,0.0,0.0,2.0
10.283427809269757,0.042278694013407225,0.0,0.0,0.0,2.0
10.287429143047683,0.04227869401346407,-8.881784197001252e-16,-8.881784197001252e-16,-8.881784197001252e-16,2.0
10.291430476825608,0.04227869401352624,0.0,0.0,0.0,2.0
10.295431810603535,0.04227869401358664,-8.881784197001252e-16,-8.881784197001252e-16,-8.881784197001252e-16,2.0
10.29943314438146,0.042278694013650586,8.881784197001252e-16,0.0,0.0,2.0
10.303434478159387,0.04227869401371276,-8.881784197001252e-16,-8.881784197001252e-16,-8.881784197001252e-16,2.0
10.307435811937314,0.042278694013773155,-8.881784197001252e-16,-8.881784197001252e-16,-8.881784197001252e-16,2.0
10.311437145715239,0.04227869401383355,-8.881784197001252e-16,-8.881784197001252e-16,-8.881784197001252e-16,2.0
