k,q,T,lam,D,D_T,D_max,ratio_DT_over_Dmax
4,-2.0,1.0,100.0,8.757284053820028,6.011824185605228,23.159993727528082,0.25957797123492066
4,-2.0,1.0,177.82794100389228,8.747639937566596,5.707374730320923,23.555457645825314,0.24229521736048415
4,-2.0,1.0,316.22776601683796,8.741310935123842,5.4033940694338956,23.804457166815094,0.2269908543416216
4,-2.0,1.0,562.341325190349,8.7370484436074,5.131253521047565,23.947161619565904,0.21427397545332058
4,-2.0,1.0,1000.0,8.73409582614778,4.903653966948704,24.0231189864222,0.20412228610782118
4,-2.0,1.0,1778.2794100389228,8.731998239032587,4.72116952848695,24.061605502642234,0.19621174189596421
4,-2.0,1.0,3162.2776601683795,8.730478636064193,4.5785962116432986,24.079338146423275,0.19014626497628215
4,-2.0,1.0,5623.413251903491,8.729362759557299,4.468947781287802,24.08635389314312,0.1855385751248975
4,-2.0,1.0,10000.0,8.728536240692891,4.3854244701568215,24.088061574326524,0.18205800647864848
4,-2.0,1.0,17782.794100389227,8.727920835933274,4.3221712620342565,24.087477279460625,0.17943644375410658
4,-2.0,1.0,31622.776601683792,8.727461214550146,4.274439385993235,24.085738036613566,0.1774676524130384
4,-2.0,1.0,56234.13251903491,8.727117336388236,4.238499748461557,24.083892620907367,0.175988982145772
4,-2.0,1.0,100000.0,8.72685979682418,4.211475563149734,24.08230502412759,0.1748784245914309
4,-2.0,1.0,177827.94100389228,8.726666809148771,4.191173005023327,24.080738284381056,0.17404669888139404
4,-2.0,1.0,316227.7660168379,8.72652214745579,4.175926087321818,24.079451176675178,0.1734228100417369
4,-2.0,1.0,562341.3251903491,8.72641369069307,4.164489667943834,24.07856494557619,0.17295423034373777
4,-2.0,1.0,1000000.0,8.726332368794186,4.1558878208913175,24.07777586359083,0.1726026458770902
4,-2.0,3.0,0.0,8.807809729768783,4.906631948843615,14.937347934745665,0.32848079660984075
4,-2.0,3.0,0.0001,8.807800228082797,4.906646245629635,14.937392543173296,0.3284807727619153
4,-2.0,3.0,0.00017782794100389227,8.80779283333586,4.9066573723249025,14.937427260060819,0.32848075420886935
4,-2.0,3.0,0.00031622776601683794,8.807779683883314,4.906677158266751,14.937488994540162,0.3284807212283271
4,-2.0,3.0,0.0005623413251903491,8.807756301980293,4.906712341836184,14.937598769164584,0.32848066263267306
4,-2.0,3.0,0.001,8.807714727159086,4.906774903741698,14.937793960710044,0.3284805585515294
4,-2.0,3.0,0.0017782794100389228,8.80764081048204,4.906886142657568,14.938141004871511,0.3284803739004319
4,-2.0,3.0,0.0031622776601683794,8.807509413301574,4.9070839134327535,14.938757955524862,0.3284800468714969
4,-2.0,3.0,0.005623413251903491,8.807275901944115,4.907435468900427,14.939854461736944,0.32847946956036655
4,-2.0,3.0,0.01,8.806861125786552,4.908060202289359,14.941802446415315,0.3284784563235108
