S,size,q,T,lam,E,D,y_T
"(4,)",1,0,0.1,0.00017782794100389227,5871.501170968755,46.05423866356615,1.0
"(4,)",1,0,0.1,0.00031622776601683794,5871.5011709696455,46.054236859422325,1.0
"(4,)",1,0,0.1,0.0005623413251903491,5871.5011709724595,46.05423365115469,1.0
"(4,)",1,0,0.1,0.001,5871.501170981369,46.054227945971874,1.0
"(4,)",1,0,0.1,0.0017782794100389228,5871.501171009549,46.054217800605784,1.0
"(4,)",1,0,0.1,0.0031622776601683794,5871.501171098669,46.05419975944663,1.0
"(4,)",1,0,0.1,0.005623413251903491,5871.501171380509,46.05416767765632,0.9999999999999998
"(4,)",1,0,0.1,0.01,5871.50117227177,46.054110628634135,1.0
"(4,)",1,0,0.1,0.01778279410038923,5871.501175090115,46.05400918384844,1.0
"(4,)",1,0,0.1,0.03162277660168379,5871.501184001902,46.05382880032119,1.0
"(4,)",1,0,0.1,0.05623413251903491,5871.501212179726,46.05350807115523,1.0
"(4,)",1,0,0.1,0.1,5871.501301264278,46.05293786148389,1.0
"(4,)",1,0,0.1,0.1778279410038923,5871.501582852002,46.05192430047264,0.9999999999999998
"(4,)",1,0,0.1,0.31622776601683794,5871.502472621077,46.05012326778417,1.0
"(4,)",1,0,0.1,0.5623413251903491,5871.505282443534,46.046924828183585,1.0
"(4,)",1,0,0.1,1.0,5871.514146155063,46.041250665452246,1.0
"(4,)",1,0,0.1,1.7782794100389228,5871.5420541410285,46.03120306120761,1.0
"(4,)",1,0,0.1,3.1622776601683795,5871.629630058108,46.01346919700705,1.0
"(4,)",1,0,0.1,5.623413251903491,5871.902827347364,45.98234888277917,1.0
"(4,)",1,0,0.1,10.0,5872.746332837239,45.928284048143844,1.0
"(4,)",1,0,0.1,17.78279410038923,5875.304782827368,45.83597399688322,0.9999999999999998
"(4,)",1,0,0.1,31.622776601683793,5882.835917063851,45.68290893725043,0.9999999999999998
"(4,)",1,0,0.1,56.23413251903491,5903.955423305137,45.44086929256711,1.0
"(4,)",1,0,0.1,100.0,5958.974559456365,45.08484825869562,0.9999999999999998
"(4,)",1,0,0.1,177.82794100389228,6088.473280947383,44.61109299045803,0.9999999999999998
"(4,)",1,0,0.1,316.22776601683796,6358.2177824615,44.052775893843325,1.0
"(4,)",1,0,0.1,562.341325190349,6853.7239062618155,43.47265914316785,1.0
"(4,)",1,0,0.1,1000.0,7667.6291180217795,42.934183019012025,1.0
"(4,)",1,0,0.1,1778.2794100389228,8892.44547265645,42.476871470177116,0.9999999999999998
"(4,)",1,0,0.1,3162.2776601683795,10631.277863256644,42.1110030753769,1.0
"(4,)",1,0,0.1,5623.413251903491,13022.096983944764,41.82781357757923,1.0
"(4,)",1,0,0.1,10000.0,16258.787682936012,41.6121132951709,1.0
"(4,)",1,0,0.1,17782.794100389227,20608.251525901695,41.44907415782474,1.0
"(4,)",1,0,0.1,31622.776601683792,26431.649350726384,41.32630579011981,0.9999999999999998
"(4,)",1,0,0.1,56234.13251903491,34213.848149920625,41.23404006135194,1.0
"(4,)",1,0,0.1,100000.0,44603.5114798422,41.16476854986615,1.0
"(4,)",1,0,0.1,177827.94100389228,58467.02054515992,41.11278870982313,1.0
"(4,)",1,0,0.1,316227.7660168379,76960.6277419264,41.07379549531154,0.9999999999999998
"(4,)",1,0,0.1,562341.3251903491,101626.84106326991,41.044548937715206,1.0
"(4,)",1,0,0.1,1000000.0,134522.86842893483,41.02261462089987,1.0
"(4,)",1,0,1,0.0,211.85723233583204,11.495530543752709,1.0
"(4,)",1,0,1,0.0001,211.8572323363815,11.495525054802208,1.0
"(4,)",1,0,1,0.00017782794100389227,211.85723233756792,11.495520782930381,1.0
"(4,)",1,0,1,0.00031622776601683794,211.8572323413212,11.495513186490303,1.0
"(4,)",1,0,1,0.0005623413251903491,211.8572323531891,11.495499678345071,0.9999999999999998
"(4,)",1,0,1,0.001,211.85723239071663,11.495475658504349,1.0
"(4,)",1,0,1,0.0017782794100389228,211.85723250937505,11.495432948992887,1.0
"(4,)",1,0,1,0.0031622776601683794,211.85723288453462,11.495357013701259,1.0
"(4,)",1,0,1,0.005623413251903491,211.8572340704878,11.495222024274328,1.0
"(4,)",1,0,1,0.01,211.85723781853318,11.494982116732677,1.0
"(4,)",1,0,1,0.01778279410038923,211.85724965816067,11.494555940605906,1.0
"(4,)",1,0,1,0.03162277660168379,211.85728702692498,11.493799489249405,1.0
"(4,)",1,0,1,0.05623413251903491,211.85740479732507,11.49245874510877,1.0
