k,q,T,lam,E,D,Dbar,D_T,D_max,y_T,resid_norm,m_T_1,m_T_2,m_T_3,m_T_4,m_T_5,m_T_6,m_T_7,m_T_8
4,1,1,56.23413251903491,166.0123300171619,7.563531897838739,7.563531897838739,15.902186667958972,22.197787005895115,1.0,2.450057618376106,0.9136948447087447,0.9136948447087448,1.1726103105825108,2.850540482970446,0.45174578502888035,0.8092306298157501,0.8353201341304008,0.835320134130401
4,1,1,100.0,170.54293132496468,7.533025124627223,7.533025124627223,17.834327763449267,23.435306263999767,1.0,2.5669994720355023,0.9109772290887865,0.9109772290887865,1.1780455418224274,2.9779107190914242,0.445066527224431,0.7990811241131076,0.8330417644531186,0.8330417644531186
4,1,1,177.82794100389228,175.30189901858762,7.5149533112739535,7.5149533112739535,19.73857169154259,24.577492599455425,1.0,2.6776251550957904,0.909069597936505,0.909069597936505,1.18186080412699,3.096922717797626,0.4403686663781887,0.791537440910903,0.8315925840687038,0.8315925840687037
4,1,1,316.22776601683796,180.09426827115257,7.504706948253904,7.504706948253904,21.5069458621228,25.575098161600657,1.0,2.776642345372341,0.9078232879743139,0.9078232879743139,1.1843534240513724,3.202474239446424,0.4372945848824683,0.7863268991576639,0.830748025996916,0.830748025996916
4,1,1,562.341325190349,184.87427760797382,7.49896130335343,7.49896130335343,23.071773419907103,26.4127248178809,0.9999999999999999,2.8615405037992194,0.907052886983619,0.907052886983619,1.185894226032762,3.2923704458035736,0.4353963522494187,0.7829268758025554,0.8302934420170608,0.8302934420170607
4,1,1,1000.0,189.73231149924982,7.495682374818112,7.495682374818112,24.40436274685374,27.09393252961308,1.0,2.9319767774665397,0.9065973704515327,0.9065973704515327,1.1868052590969347,3.366590203495766,0.4342809410875913,0.7808042067877234,0.8300696141383306,0.8300696141383306
4,1,1,1778.2794100389228,194.8719469277235,7.493736042534235,7.493736042534235,25.505585010277976,27.635140680050956,0.9999999999999999,2.988972868614325,0.9063383196365978,0.9063383196365976,1.1873233607268046,3.4264343821505148,0.4336558886915166,0.7795247404642591,0.8299734220416466,0.8299734220416466
4,1,1,3162.2776601683795,200.5951460413801,7.492520346125437,7.492520346125437,26.39466858838935,28.06027034542576,1.0,3.0342307677618496,0.906196627262576,0.9061966272625758,1.1876067454748485,3.4738300955177386,0.4333236998416898,0.7787757249569726,0.8299434622336088,0.8299434622336088
4,1,1,5623.413251903491,207.30186816263617,7.491721065899626,7.491721065899626,27.09975191920682,28.390633832840923,1.0,3.0696601486729613,0.9061226123092181,0.9061226123092181,1.187754775381564,3.5108619756646946,0.43315933269368545,0.7783485613731874,0.829945262812613,0.8299452628126129
4,1,1,10000.0,215.50522166694157,7.491172283970663,7.491172283970663,27.65132627327301,28.64117489825388,1.0000000000000002,3.097100028418147,0.9060863880875296,0.9060863880875295,1.1878272238249414,3.539502426031869,0.43308724919721875,0.7781111958160306,0.8299604000344554,0.8299604000344551
4,1,1,17782.794100389227,225.86219735060592,7.490783154752622,7.490783154752622,28.078354074345523,28.8362730011846,0.9999999999999998,3.118181703859248,0.9060705550238273,0.9060705550238273,1.187858889952345,3.561483429843091,0.4330635103578999,0.7779830979131127,0.8299795308305723,0.8299795308305723
4,1,1,31622.776601683792,239.22083107038736,7.49050114314406,7.49050114314406,28.406367150692898,28.98256900750361,1.0000000000000002,3.134280865658216,0.9060652615147418,0.9060652615147419,1.1878694769705171,3.5782563044095683,0.43306342234189993,0.7779165216829469,0.8299982513395309,0.8299982513395309
4,1,1,56234.13251903491,256.68623895812163,7.490293907706699,7.490293907706699,28.656826715471183,29.09157607436578,1.0,3.1465192609803,0.9060650798509807,0.9060650798509807,1.1878698402980388,3.5909994591022176,0.43307360375227033,0.7778837935920572,0.8300147458063721,0.8300147458063721
4,1,1,100000.0,279.71000640327475,7.490140328731841,7.490140328731841,28.847215193545832,29.177221710479103,1.0,3.155791205694598,0.9060671106646756,0.9060671106646756,1.1878657786706488,3.600649642424528,0.43308712333651783,0.7778691867021492,0.8300284929954563,0.8300284929954566
4,1,1,177827.94100389228,310.20954831930135,7.490025942400706,7.490025942400706,28.99145248228408,29.24037348901968,0.9999999999999999,3.1627978172256346,0.9060698678265199,0.9060698678265199,1.1878602643469602,3.6079397270115856,0.4331006228815769,0.7778639342213263,0.8300395751715903,0.8300395751715904
4,1,1,316227.7660168379,350.7269167253262,7.4899404976366455,7.4899404976366455,29.100452584201964,29.281975918683862,1.0,3.1680826166195746,0.9060726353890053,0.9060726353890053,1.1878547292219896,3.613437012205234,0.4331126565850983,0.7778632478131294,0.830048318784236,0.830048318784236
