eps,L_exact,L_H,half_L_H,ratio_2L_over_LH
0.017027691722258997,9.312358574931068e-06,1.8624543710746903e-05,9.312271855373452e-06,1.0000093123954028
0.017834308769319095,1.0211358747902466e-05,2.0422508953773188e-05,1.0211254476886594e-05,1.0000102113815799
0.01867913599020783,1.1196932081958266e-05,2.2393613423090986e-05,1.1196806711545493e-05,1.000011196979282
0.01956398343517065,1.227738373366094e-05,2.45544660014152e-05,1.22772330007076e-05,1.0000122774368891
0.020490746898158482,1.3461810898895976e-05,2.6923259361013795e-05,1.3461629680506898e-05,1.0000134618462533
0.021461411978584036,1.4760177656114593e-05,2.951991959138259e-05,1.4759959795691294e-05,1.0000147602314853
0.02247805833548725,1.6183396777336156e-05,3.2366269756229834e-05,1.6183134878114917e-05,1.0000161834665047
0.02354286414322418,1.774341914817512e-05,3.548620864596186e-05,1.774310432298093e-05,1.0000177435238198
0.024658110758226038,1.9453331478125335e-05,3.890590610244318e-05,1.945295305122159e-05,1.0000194534425055
0.025826187606826773,2.132746305960609e-05,4.265401641236451e-05,2.1327008206182256e-05,1.0000213275776628
0.027049597304631343,2.3381502383124086e-05,4.676191139472765e-05,2.3380955697363823e-05,1.000023381668711
0.02833096101839324,2.5632624494065226e-05,5.126393494739697e-05,2.5631967473698484e-05,1.000025632849582
0.029673024081888696,2.8099630058342484e-05,5.619768096805359e-05,2.8098840484026795e-05,1.0000280998896072
0.03107866187782014,3.0803097174292304e-05,6.160429672693079e-05,3.0802148363465394e-05,1.0000308033977279
0.0325508859983506,3.37655470579179e-05,6.752881394313038e-05,3.376440697156519e-05,1.0000337659226082
0.03409285069746811,3.701162482716569e-05,7.40205100038553e-05,3.701025500192765e-05,1.0000370120453905
0.03570785964900463,4.056829672549611e-05,8.113330196730877e-05,4.0566650983654383e-05,1.0000405688367617
0.03739937302478798,4.446506518718252e-05,8.892617620605076e-05,4.446308810302538e-05,1.0000444657409435
0.039171014908092605,4.873420333506573e-05,9.746365677903145e-05,4.873182838951573e-05,1.0000487349978133
0.04102658105827194,5.3411010568993333e-05,0.00010681631586806441,5.3408157934032206e-05,1.0000534119705955
0.04297004704320839,5.85340910452814e-05,0.00011706132987889832,5.853066493944916e-05,1.0000585352282565
0.04500557675700498,6.414565703405373e-05,0.00012828308508893905,6.414154254446952e-05,1.0000641470320324
0.047137531341167244,7.02918592256907e-05,0.00014057383702371278,7.028691851185639e-05,1.0000702935046653
0.049370478528390035,7.702314629209894e-05,0.00015403442806287578,7.701721403143789e-05,1.0000770251265987
0.05170920242896761,8.439465611420616e-05,0.0001687750681143956,8.43875340571978e-05,1.0000843970272142
0.054158713780794704,9.246664132867011e-05,0.00018491618355281593,9.245809177640797e-05,1.0000924694864222
0.05672426068491978,0.00010130493199334012,0.00020258933999438644,0.00010129466999719322,1.000101308352623
0.05941133984965034,0.00011098143840815311,0.00022193824487828426,0.00011096912243914213,1.0001109855493155
0.06222570836730231,0.00012157469732887449,0.00024311983623894224,0.00012155991811947112,1.0001215796261795
0.06517339604882427,0.00013317046504202068,0.00026630546448902335,0.00013315273224451168,1.000133176369798
0.06826071834272386,0.00014586236100200267,0.00029168217448504846,0.00014584108724252423,1.0001458694520227
0.07149428986597577,0.0001597525659731147,0.00031945409561678635,0.00015972704780839317,1.0001597610741053
0.07488103857590023,0.00017495257890765004,0.00034984394814555704,0.00017492197407277852,1.0001749627800267
0.07842822061337681,0.0001915840370125821,0.00038309467451335397,0.00019154733725667699,1.0001915962729147
0.0821434358491943,0.00020977960375390126,0.0004194712048512424,0.0002097356024256212,1.000209794273224
0.086034644166845,0.0002296839298452369,0.0004592623664284008,0.0002296311832142004,1.0002297015165718
0.09011018251665019,0.0002514546925134198,0.0005027829472979168,0.0002513914736489584,1.0002514757702152
0.09437878277775381,0.0002752637186658191,0.0005503759249069222,0.0002751879624534611,1.000275288975879
0.09884959046625587,0.0003012981978427476,0.0006024148709404502,0.0003012074354702251,1.0003013284595077
0.10353218432956626,0.0003297619911455385,0.0006593065441530552,0.0003296532720765276,1.0003297982402117
0.1084365968689611,0.00036087704261333897,0.0007214936834010564,0.0003607468417005282,1.0003609204510204
0.11357333583431052,0.00039488489979611074,0.000789458013511021,0.0003947290067555105,1.0003949368755076
0.11895340673703195,0.0004320483505209083,0.0008637234769949049,0.00043186173849745244,1.0004321105734097
0.12458833642950082,0.0004726531831220626,0.000944859704935739,0.0004724298524678695,1.000472727650521
0.1304901978014403,0.0005170100776146214,0.0010334857406042249,0.0005167428703021124,1.000517099176139
0.13667163564620075,0.000565456635461814,0.0011302740295086192,0.0005651370147543096,1.000565563215928
0.14314589375234785,0.0006183595557649468,0.0012359546896080025,0.0006179773448040012,1.000618487011149
0.14992684327860456,0.0006761169658267008,0.001351320075310238,0.000675660037655119,1.0006762693457016
0.15702901247293774,0.0007391609140272593,0.0014772296486056974,0.0007386148243028487,1.0007393430329887
0.16446761779946645,0.0008079600330477277,0.0016146151702290735,0.0008073075851145367,1.0008081776329383
0.17225859653987874,0.0008830223812488214,0.0017644862230634314,0.0008822431115317157,1.0008832822913774
0.18041864093920718,0.0009648984699826002,0.0019279360790706976,0.0009639680395353488,1.0009652088130432
0.18896523396912096,0.0010541844842322234,0.0021061479198143584,0.0010530739599071792,1.0010545549195253
0.19791668678535573,0.0011515257036220916,0.002300401419094801,0.0011502007095474005,1.0011519677076295
0.2072921779595372,0.0012576201303362566,0.0025120796943039407,0.0012560398471519703,1.0012581473333586
0.21711179456945054,0.0013732223297813206,0.0027426766307787026,0.0013713383153893513,1.0013738509096017
0.22739657523579276,0.001499147489034236,0.0029938045806473085,0.0014969022903236543,1.0014998966366042
0.23816855519761582,0.0016362756970877967,0.003267202434368403,0.0016336012171842015,1.0016371681628673
0.24945081352303167,0.0017855564497226695,0.0035647440593127673,0.0017823720296563836,1.0017866191868483
0.2612675225563329,0.0019480133804092858,0.0038884470952793237,0.0019442235476396618,1.0019492782989
0.27364399970746717,0.002124749217013111,0.00424048209172227,0.002120241045861135,1.0021262540694496
0.286606761694825,0.00231695096218143,0.004623181965645826,0.002311590982822913,1.0023187403819906
0.3001835813575589,0.0025258952931412892,0.005039051752551917,0.0025195258762759584,1.0025280220081507
0.31440354715915003,0.0027529541742286057,0.005490778615462765,0.0027453893077313825,1.0027554804252787
0.3292971255097151,0.0029996006727612823,0.005981242068850238,0.002990621034425119,1.0030025998723335
0.34489622604057596,0.003267414965849369,0.006513524365260688,0.003256762182630344,1.0032709736301413
0.36123426997094304,0.003558090522467694,0.007090920982511671,0.0035454604912558353,1.0035623105215834
0.3783462617131929,0.003873440441502396,0.007716951138555203,0.0038584755692776013,1.003878441616671
0.3962688638701478,0.004215403922592564,0.008395368249463466,0.004197684124731733,1.0042213271256955
0.41504047578504766,0.0045860528424066516,0.009130170233534785,0.004565085116767393,1.0045930634594842
0.43470131581250265,0.004987598404565752,0.0099256095512962,0.0049628047756481,1.004995890436656
0.4552935074866948,0.0054223978267078365,0.010786202857280274,0.005393101428640137,1.0054321986069314
0.47686116977144694,0.005892961023297616,0.011716740124994561,0.005858370062497281,1.0059045366597394
0.499450511585514,0.006401957237730294,0.012722293091630857,0.006361146545815428,1.00641561888583
0.5231099308056264,0.006952221572051442,0.013808222853970879,0.006904111426985439,1.0069683326485663
0.5478901179593945,0.007546761357376752,0.014980186431858672,0.007490093215929336,1.0075657458210132
